Date : 2023-10-13 11:08:50
Directory : c:\Users\haikal.hendrawan\monevTI-V2
Total : 183 files,  41347 codes, 410 comments, 1038 blanks, all 42795 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\haikal.hendrawan\monevTI-V2\backEnd\index.js                                                  | JavaScript         |         16 |          3 |          5 |         24 |
| c:\Users\haikal.hendrawan\monevTI-V2\backEnd\middlewares\authenticate.js                               | JavaScript         |         15 |          1 |          4 |         20 |
| c:\Users\haikal.hendrawan\monevTI-V2\backEnd\package-lock.json                                         | JSON               |      1,746 |          0 |          1 |      1,747 |
| c:\Users\haikal.hendrawan\monevTI-V2\backEnd\package.json                                              | JSON               |         23 |          0 |          1 |         24 |
| c:\Users\haikal.hendrawan\monevTI-V2\backEnd\routes\authRoute.js                                       | JavaScript         |         11 |          0 |          8 |         19 |
| c:\Users\haikal.hendrawan\monevTI-V2\backEnd\routes\notifRoute.js                                      | JavaScript         |          7 |          0 |          6 |         13 |
| c:\Users\haikal.hendrawan\monevTI-V2\backEnd\routes\userRoute.js                                       | JavaScript         |          7 |          0 |          5 |         12 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\CHANGELOG.md                                             | Markdown           |         44 |          0 |         31 |         75 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\LICENSE.md                                               | Markdown           |         17 |          0 |          5 |         22 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\jsconfig.json                                            | JSON with Comments |         13 |          0 |          1 |         14 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\package-lock.json                                        | JSON               |     33,657 |          0 |          1 |     33,658 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\package.json                                             | JSON               |         90 |          0 |          1 |         91 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\ic_flag_de.svg                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\ic_flag_en.svg                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\ic_flag_fr.svg                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\ic_notification_chat.svg             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\ic_notification_mail.svg             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\ic_notification_package.svg          | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\ic_notification_shipping.svg         | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\book.svg                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\hardware-chip.svg             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\help-outline.svg              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\home-bold-duotone.svg         | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\home-bold.svg                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\ic_analytics.svg              | XML                |          8 |          0 |          1 |          9 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\ic_blog.svg                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\ic_cart.svg                   | XML                |          7 |          0 |          1 |          8 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\ic_disabled.svg               | XML                |          4 |          0 |          1 |          5 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\ic_lock.svg                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\ic_user.svg                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\map.svg                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\network.svg                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\pc-display.svg                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\pen-workspace.svg             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\round-security.svg            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\security-camera.svg           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\security-group.svg            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\solar-checklist-bold.svg      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\solar-checklist.svg           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\solar-database-bold.svg       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\solar-document-bold.svg       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\solar-document.svg            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\solar-notebook.svg            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\solar-telescope.svg           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\solar-usb.svg                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\solar-user-check.svg          | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\video-security-20-filled.svg  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\video-security-20-regular.svg | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\world-search.svg              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\shape-avatar.svg                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\illustrations\illustration_404.svg         | XML                |         40 |          0 |          1 |         41 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\logo.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\logomonevti1.svg                           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\logomonevti2.svg                           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\monevti-logo.svg                           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\monevti-logo2.svg                          | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\placeholder.svg                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\room2.svg                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\index.html                                        | HTML               |         24 |          5 |          9 |         38 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\manifest.json                                     | JSON               |         20 |          0 |          1 |         21 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\App.jsx                                              | JavaScript JSX     |         22 |          4 |          7 |         33 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\_mock\account.js                                     | JavaScript         |          6 |          1 |          3 |         10 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\_mock\blog.js                                        | JavaScript         |         42 |          1 |          5 |         48 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\_mock\products.js                                    | JavaScript         |         49 |          2 |          7 |         58 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\_mock\user.js                                        | JavaScript         |         23 |          1 |          4 |         28 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\chart\index.js                            | JavaScript         |          4 |          1 |          5 |         10 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\chart\styles.js                           | JavaScript         |         51 |          5 |          6 |         62 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\chart\useChart.js                         | JavaScript         |        162 |         23 |         23 |        208 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\color-utils\ColorMultiPicker.js           | JavaScript         |         36 |          3 |          5 |         44 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\color-utils\ColorPreview.js               | JavaScript         |         31 |          2 |          7 |         40 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\color-utils\ColorSinglePicker.js          | JavaScript         |         29 |          3 |          6 |         38 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\color-utils\Icon.js                       | JavaScript         |         68 |          3 |          7 |         78 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\color-utils\index.js                      | JavaScript         |          3 |          0 |          1 |          4 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\iconify\Iconify.js                        | JavaScript         |         13 |          3 |          5 |         21 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\iconify\index.js                          | JavaScript         |          1 |          0 |          1 |          2 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\label\Label.js                            | JavaScript         |         40 |          3 |          9 |         52 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\label\index.js                            | JavaScript         |          1 |          0 |          1 |          2 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\label\styles.js                           | JavaScript         |         58 |          7 |          9 |         74 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\loading\simpleBackdrop.js                 | JavaScript         |         19 |          0 |          3 |         22 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\logo\Logo.js                              | JavaScript         |         68 |         11 |         15 |         94 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\logo\index.js                             | JavaScript         |          1 |          0 |          1 |          2 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\nav-section\NavSection.js                 | JavaScript         |         61 |          4 |         10 |         75 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\nav-section\index.js                      | JavaScript         |          1 |          0 |          1 |          2 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\nav-section\styles.js                     | JavaScript         |         18 |          2 |          4 |         24 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\scroll-to-top\ScrollToTop.js              | JavaScript         |          9 |          1 |          5 |         15 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\scroll-to-top\index.js                    | JavaScript         |          1 |          0 |          1 |          2 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\scrollbar\Scrollbar.js                    | JavaScript         |         27 |          3 |          8 |         38 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\scrollbar\index.js                        | JavaScript         |          1 |          0 |          1 |          2 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\scrollbar\styles.js                       | JavaScript         |         27 |          2 |          4 |         33 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\svg-color\SvgColor.js                     | JavaScript         |         25 |          2 |          5 |         32 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\components\svg-color\index.js                        | JavaScript         |          1 |          0 |          1 |          2 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\config\axios.js                                      | JavaScript         |          6 |          0 |          2 |          8 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\context\AuthProvider.js                              | JavaScript         |         12 |          0 |          7 |         19 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\hooks\display\useMode.js                             | JavaScript         |          7 |          1 |          3 |         11 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\hooks\useAuth.js                                     | JavaScript         |          6 |          0 |          2 |          8 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\hooks\useAxiosJWT.js                                 | JavaScript         |         35 |          0 |          8 |         43 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\hooks\useRefreshToken.js                             | JavaScript         |         15 |          0 |          4 |         19 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\hooks\useResponsive.js                               | JavaScript         |         29 |          4 |         16 |         49 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\index.js                                             | JavaScript         |          4 |          2 |          7 |         13 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\auth\PersistLogin.js                         | JavaScript         |         42 |          3 |          7 |         52 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\auth\RequireAuthLayout.js                    | JavaScript         |         47 |          4 |         12 |         63 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\DashboardLayout.js                 | JavaScript         |         37 |          4 |         11 |         52 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\footer\index.js                    | JavaScript         |         15 |          0 |          3 |         18 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\header\AccountPopover.js           | JavaScript         |        115 |          5 |         15 |        135 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\header\ColorSwitcher.js            | JavaScript         |         54 |          0 |          7 |         61 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\header\CurrentDate.js              | JavaScript         |         48 |          0 |         10 |         58 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\header\LanguagePopover.js          | JavaScript         |         75 |          3 |         10 |         88 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\header\NotificationsPopover.js     | JavaScript         |        178 |         36 |         30 |        244 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\header\Searchbar.js                | JavaScript         |         63 |          5 |         10 |         78 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\header\ThemeSwitcher.js            | JavaScript         |         24 |          1 |          4 |         29 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\header\index.js                    | JavaScript         |         67 |          6 |         12 |         85 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\index.js                           | JavaScript         |          1 |          0 |          1 |          2 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\nav\config.js                      | JavaScript         |         54 |          2 |          9 |         65 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\nav\index.js                       | JavaScript         |         89 |          8 |         14 |        111 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\simple\SimpleLayout.js                       | JavaScript         |         24 |          4 |          6 |         34 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\simple\index.js                              | JavaScript         |          1 |          0 |          1 |          2 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\BlogPage.js                                    | JavaScript         |         38 |          5 |          8 |         51 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\DashboardAppPage.js                            | JavaScript         |        207 |          4 |         20 |        231 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\IAssetPage.js                                  | JavaScript         |         30 |          5 |          8 |         43 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\LogBookPage.js                                 | JavaScript         |         17 |          2 |          8 |         27 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\LoginPage.js                                   | JavaScript         |         95 |         12 |         18 |        125 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\MonitoringPage.js                              | JavaScript         |         17 |          2 |          8 |         27 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\Page404.js                                     | JavaScript         |         45 |          3 |         10 |         58 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\ProductsPage.js                                | JavaScript         |         38 |          4 |          9 |         51 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\TopologyPage.js                                | JavaScript         |         17 |          2 |          8 |         27 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\UserPage.js                                    | JavaScript         |        248 |          6 |         41 |        295 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\WorksheetPage.js                               | JavaScript         |         17 |          2 |          9 |         28 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\reportWebVitals.js                                   | JavaScript         |         12 |          0 |          2 |         14 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\routes.js                                            | JavaScript         |         47 |         10 |          8 |         65 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\app\AppConversionRates.js        | JavaScript         |         39 |          4 |          8 |         51 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\app\AppCurrentSubject.js         | JavaScript         |         54 |          4 |         10 |         68 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\app\AppCurrentVisits.js          | JavaScript         |         61 |          5 |         12 |         78 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\app\AppNewsUpdate.js             | JavaScript         |         57 |          5 |         14 |         76 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\app\AppOrderTimeline.js          | JavaScript         |         62 |          4 |         10 |         76 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\app\AppTasks.js                  | JavaScript         |        142 |          5 |         22 |        169 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\app\AppTrafficBySite.js          | JavaScript         |         34 |          3 |          7 |         44 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\app\AppWebsiteVisits.js          | JavaScript         |         38 |          3 |          6 |         47 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\app\AppWidgetSummary.js          | JavaScript         |         54 |          5 |          8 |         67 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\app\index.js                     | JavaScript         |          9 |          0 |          1 |         10 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\blog\BlogPostCard.js             | JavaScript         |        154 |          5 |         16 |        175 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\blog\BlogPostsSearch.js          | JavaScript         |         37 |          4 |          7 |         48 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\blog\BlogPostsSort.js            | JavaScript         |         17 |          2 |          4 |         23 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\blog\index.js                    | JavaScript         |          3 |          0 |          1 |          4 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\iasset\GenerateReport.js         | JavaScript         |         99 |          2 |          9 |        110 |
| c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\iasset\IAssetLanding.js          | JavaScript         |         43 |          2 |         11 |         56 |
